I_in,Q_in,I_out,Q_out
0.277035507,0.382390482,0.319004075,0.467446627
0.240450237,0.454155048,0.297895999,0.54484917
0.180311982,0.507975985,0.252332794,0.611300674
0.095895135,0.523267421,0.147503329,0.63094345
-0.009637964,0.487569794,0.009771882,0.606914186
-0.126599723,0.399984528,-0.14754688,0.521597824
-0.238060272,0.271808622,-0.301051395,0.36855342
-0.321995358,0.124230828,-0.40795794,0.182789488
-0.356211632,-0.016340967,-0.451149309,0.009897783
-0.324827439,-0.12420087,-0.411639708,-0.124630059
-0.224278004,-0.180119175,-0.281493684,-0.215654667
-0.066665168,-0.175626027,-0.076827551,-0.21487528
0.121101617,-0.114819783,0.139545361,-0.130550233
0.302683035,-0.013297391,0.355218164,-0.01188541
0.441045001,0.105519983,0.52107548,0.104724129
0.508182521,0.215775244,0.611253452,0.198435347
0.492948783,0.294971948,0.607751067,0.28540784
0.40449704,0.328768416,0.513416045,0.35076598
0.270058794,0.313603363,0.343504595,0.380166897
0.127464169,0.256538072,0.159936259,0.340690228
0.014436106,0.172430129,0.013334289,0.24231295
-0.042260361,0.079275468,-0.050925801,0.131233923
-0.03460422,-0.006933188,-0.031845697,0.021337605
0.024318414,-0.076341756,0.043433793,-0.069767432
0.104152414,-0.127166039,0.137575831,-0.122312369
0.166260815,-0.164882872,0.220912719,-0.166412791
0.175284457,-0.198995266,0.234024149,-0.208599075
0.109937299,-0.238467238,0.168378587,-0.248313085
-0.030074829,-0.287384095,0.010063849,-0.31276798
-0.222995568,-0.342365512,-0.230854672,-0.385857807
-0.430118794,-0.392724172,-0.497701702,-0.412027597
-0.605611893,-0.423470844,-0.722732949,-0.371076246
-0.70833723,-0.420295647,-0.840550383,-0.301212478
-0.712459741,-0.374926684,-0.832930823,-0.259857584
-0.614044746,-0.289040311,-0.717078541,-0.252409052
-0.432012355,-0.175275758,-0.503965326,-0.231160254
-0.203364538,-0.054794086,-0.223395585,-0.157517776
0.025905013,0.048057323,0.034140378,-0.029455959
0.211766632,0.112426683,0.2370199,0.070747715
0.322179794,0.126924876,0.374251862,0.108613889
0.343782272,0.092969001,0.402752835,0.085105759
0.283807203,0.024384463,0.33186089,0.035398722
0.167047554,-0.056669924,0.200171164,-0.037618023
0.028894132,-0.126203188,0.045928706,-0.119794138
-0.093658797,-0.165278868,-0.083238023,-0.174318808
-0.170794511,-0.165125184,-0.177528759,-0.188372474
-0.186397393,-0.128904194,-0.194111106,-0.164997582
-0.140935718,-0.06969405,-0.146691852,-0.106648545
-0.050252338,-0.005498909,-0.049642725,-0.026905771
0.059214397,0.046928654,0.067645624,0.041193501
0.157460639,0.077321839,0.170562201,0.092800412
0.218424975,0.08445494,0.237367919,0.113099787
0.226173126,0.075278297,0.24502737,0.117378911
0.178346185,0.061129288,0.190689021,0.110823387
0.086164534,0.05255563,0.079787475,0.098686216
-0.028865261,0.054757601,-0.050228964,0.088825966
-0.140591539,0.065389015,-0.17642481,0.092585727
-0.224703786,0.075551262,-0.275524869,0.093568671
-0.264395457,0.073601284,-0.324451208,0.083166992
-0.253803189,0.050317571,-0.312317624,0.041796883
-0.198458426,0.003426494,-0.244232026,-0.025402797
-0.112821735,-0.06031005,-0.136450225,-0.09906705
-0.015770279,-0.12636941,-0.022349606,-0.171049958
0.074556168,-0.176790846,0.087991906,-0.218549621
0.145035587,-0.196081583,0.176700982,-0.235820553
0.189806039,-0.176605919,0.234128693,-0.206595993
0.210008253,-0.121479332,0.254808228,-0.132945763
0.211397322,-0.043840114,0.257977994,-0.036611058
0.200878755,0.037346652,0.242275795,0.061537025
0.18333558,0.103543139,0.221128194,0.140341399
0.159940746,0.142770481,0.188323916,0.187200262
0.128548539,0.153438893,0.146855779,0.202816603
0.085938703,0.144482078,0.094071201,0.186948669
0.030941289,0.131699818,0.031347621,0.170479286
-0.032923389,0.13156366,-0.048320253,0.161872294
-0.096536391,0.154661136,-0.126149366,0.177036969
-0.146640168,0.201110365,-0.187817008,0.231732673
-0.169407233,0.259607647,-0.213050107,0.310905826
-0.154997001,0.310509288,-0.194344509,0.373621805
-0.101482652,0.331941709,-0.139156613,0.395510953
-0.016606978,0.306879663,-0.056452589,0.368134416
0.083511393,0.2288031,0.04967202,0.285595526
0.178558361,0.104051128,0.162595643,0.149112727
0.249867612,-0.049851074,0.254979393,-0.012161681
0.286013407,-0.20922718,0.313414815,-0.203045625
0.286199117,-0.350856221,0.314641202,-0.389317561
0.260153671,-0.457894267,0.26732575,-0.527868346
0.224422136,-0.523199462,0.224042666,-0.606589153
0.196222775,-0.549160421,0.191976699,-0.637087655
0.186980188,-0.544424264,0.18570884,-0.640206187
0.197871468,-0.519022018,0.210459824,-0.618798072
0.219115355,-0.479896239,0.253452447,-0.580633542
0.233464408,-0.428575324,0.284173566,-0.521640737
0.222848309,-0.361824486,0.301441505,-0.439228399
0.175895231,-0.274890268,0.267196283,-0.329755266
0.093585609,-0.165906664,0.177132569,-0.189837604
-0.009216682,-0.039543685,0.051415085,-0.045890117
-0.107275944,0.091762395,-0.080769228,0.096741366
-0.172707315,0.209750535,-0.171159932,0.226210558
-0.184508985,0.294985708,-0.203952299,0.33293905
-0.136681566,0.332688348,-0.15439698,0.376453448
-0.041972608,0.317693589,-0.058267298,0.364113138
0.070404883,0.256721618,0.049569255,0.299435342
0.162769089,0.167040869,0.150790628,0.206955085
0.200402574,0.071851048,0.198602587,0.103645277
0.16284645,-0.006148227,0.163383947,0.022438835
0.051328516,-0.0509156,0.040464202,-0.037449243
-0.110306182,-0.056979828,-0.133167168,-0.059786365
-0.281771977,-0.029932319,-0.332041373,-0.052964341
-0.417933564,0.016484662,-0.499594441,0.015019029
-0.482297035,0.065535751,-0.569373795,0.094247202
-0.458167018,0.103044557,-0.544551042,0.129905342
-0.353885021,0.121475576,-0.434201553,0.114439662
-0.200396722,0.121324124,-0.273687584,0.084813513
-0.04182926,0.10962665,-0.087553271,0.078850831
0.077997755,0.096432179,0.045187117,0.08096033
0.128888943,0.090720627,0.106666516,0.090337186
0.103228217,0.097299327,0.084431942,0.109301458
0.017784094,0.115676858,-0.00335025,0.135442864
-0.092127245,0.141046161,-0.121353194,0.156943252
-0.184174911,0.166668638,-0.23042435,0.18925751
-0.222508779,0.186472047,-0.274328839,0.215608567
-0.188922108,0.1967322,-0.238962843,0.229487313
-0.088214974,0.196249925,-0.126651206,0.217572206
0.053781283,0.185207354,0.028821416,0.213769663
0.198682414,0.163543865,0.190631377,0.202669588
0.307653042,0.129935659,0.331839751,0.164404059
0.353196822,0.082175007,0.398448374,0.111764907
0.326945419,0.019038085,0.365681495,0.051766045
0.24118069,-0.057092556,0.273832382,-0.023021229
0.123921257,-0.138150838,0.152755243,-0.108372942
0.009464946,-0.210178288,0.039514171,-0.193194845
-0.072368112,-0.255713952,-0.050913789,-0.264438399
-0.104811288,-0.258492442,-0.088304076,-0.282114532
-0.08797194,-0.209097191,-0.066010305,-0.240405192
-0.037015963,-0.109556194,-0.008750238,-0.131661521
0.024281404,0.025067105,0.049422865,0.020187151
0.072175524,0.169183907,0.085920865,0.183002173
0.090792419,0.292997812,0.101595112,0.331966944
0.076652656,0.370892545,0.093050269,0.426086554
0.038639357,0.389202109,0.04373564,0.457971594
-0.006226393,0.350627967,-0.016241416,0.420384896
-0.039466642,0.273520655,-0.073396113,0.340855537
-0.047850309,0.185926221,-0.0953834,0.237878408
-0.027851626,0.116147303,-0.065103566,0.148506509
0.013490059,0.082919357,-0.012340804,0.115077178
0.061360177,0.088628522,0.042158663,0.117057495
0.098436221,0.118115571,0.087864189,0.153427722
0.110722302,0.143766723,0.10004992,0.179420202
0.091999513,0.135396555,0.084479501,0.16923571
0.04555347,0.071650099,0.031241105,0.090777545
-0.017154473,-0.051051936,-0.024073882,-0.047504308
-0.080182338,-0.215326923,-0.083855753,-0.235368486
-0.127784468,-0.38683189,-0.152357539,-0.439789729
-0.148522914,-0.524423247,-0.216360689,-0.585170005
-0.137634598,-0.593248272,-0.228487009,-0.651751146
-0.09719186,-0.576392693,-0.170398999,-0.653197442
-0.034372154,-0.48104813,-0.054851273,-0.571261818
0.041283638,-0.336920257,0.077655616,-0.425135195
0.120564404,-0.187198996,0.190326463,-0.243848108
0.196388721,-0.074968654,0.278087352,-0.106707622
0.264345062,-0.029554307,0.354574446,-0.045468498
0.322135404,-0.057396022,0.410557353,-0.07602874
0.368462244,-0.140552749,0.456468018,-0.164482827
0.402003437,-0.243355997,0.485947144,-0.286736565
0.42095175,-0.324943922,0.490307472,-0.391790835
0.423263427,-0.353378755,0.480933064,-0.425433135
0.407421094,-0.316498968,0.480909891,-0.383682239
0.37331182,-0.225786387,0.463929446,-0.260856293
0.32281803,-0.111953912,0.418873723,-0.118673614
0.259890284,-0.013839976,0.350823105,0.013621932
0.190116461,0.03547522,0.263379139,0.073659905
0.119999399,0.020456764,0.168448563,0.057165938
0.056216906,-0.051321804,0.095564027,-0.03295636
0.005049816,-0.151772711,0.036623232,-0.146623853
-0.028012736,-0.242111172,-0.006167182,-0.257083232
-0.038640233,-0.286429178,-0.023839045,-0.32578587
-0.024192355,-0.264254441,-0.007679673,-0.313288916
0.015504441,-0.177702077,0.040992062,-0.215035485
0.077280316,-0.050750097,0.10085076,-0.066571297
0.154019353,0.079047796,0.18238724,0.088669987
0.234806941,0.173444958,0.271495326,0.195607263
0.306188665,0.20642629,0.361410384,0.228575103
0.354568484,0.172656261,0.419354454,0.194852662
0.369321239,0.08856645,0.42777363,0.112551617
0.345794681,-0.014161111,0.399968563,0.011394813
0.287208558,-0.100258986,0.339535126,-0.084895392
0.204635249,-0.143435757,0.251896025,-0.131369181
0.114758151,-0.135322568,0.149916723,-0.126567481
0.035807826,-0.087651574,0.069134583,-0.085320685
-0.017263171,-0.026989331,0.003970576,-0.027350372
-0.03693369,0.01595396,-0.026590798,0.015209416
-0.025243982,0.018469393,-0.015114976,0.016823619
0.006899472,-0.02502562,0.018325865,-0.039454653
0.043180349,-0.100242607,0.060614306,-0.109372349
0.067121159,-0.177695387,0.095819745,-0.199211478
0.067519449,-0.223139468,0.098339589,-0.253399166
0.042332154,-0.210037339,0.071002385,-0.240806144
-0.000295406,-0.12957114,0.02290292,-0.149130984
-0.044277779,0.005404936,-0.042861622,-0.010634645
-0.070491152,0.163919635,-0.082346218,0.169969036
-0.062840658,0.306724253,-0.079562101,0.340055986
-0.013612616,0.398972751,-0.010454956,0.453723184
0.07355594,0.421316353,0.095319626,0.477371853
0.184009193,0.375585019,0.207102342,0.430596344
0.295590176,0.283179421,0.327546253,0.33540831
0.38425198,0.176891354,0.427791895,0.21164942
0.430070559,0.089174913,0.481679587,0.118172359
0.421927671,0.041086058,0.478659491,0.067832668
0.359642233,0.035781589,0.416085558,0.081411307
0.253190571,0.058757851,0.288653527,0.121954358
0.119563114,0.084547345,0.136995815,0.14847506
-0.021549591,0.087272104,-0.022609862,0.137046452
-0.15186235,0.051107823,-0.172256968,0.080476684
-0.257308698,-0.023188013,-0.292225267,-0.020907503
-0.329104906,-0.118043283,-0.379910457,-0.126239234
-0.363303506,-0.205173156,-0.425201849,-0.231047108
-0.359572895,-0.255752081,-0.435834048,-0.293896275
-0.320065004,-0.250933957,-0.389774478,-0.299020061
-0.248968977,-0.188902755,-0.293079369,-0.254240962
-0.152835566,-0.085917981,-0.166624225,-0.151487581
-0.041231535,0.029001226,-0.042942281,-0.011530013
0.07301737,0.123829995,0.08101056,0.108978585
0.174671903,0.174247647,0.191960908,0.188956595
0.248273554,0.171532507,0.283372183,0.201351572
0.281341802,0.124932595,0.324353442,0.155897917
0.267682945,0.057810253,0.313878049,0.09028245
0.209671476,-0.000928314,0.244316178,0.022580797
0.118545236,-0.026987321,0.1442485,-0.004830051
0.012329871,-0.008827885,0.022563302,0.006225219
-0.088214551,0.048950054,-0.090938171,0.061592024
-0.164531537,0.127954135,-0.188606303,0.137258339
-0.204639023,0.202963184,-0.243913783,0.224184052
-0.205612861,0.250801441,-0.247588631,0.284235612
-0.173455997,0.257866298,-0.219604838,0.296420393
-0.120481841,0.223713383,-0.175444408,0.251959506
-0.061157063,0.159690286,-0.110413283,0.18632773
-0.007833959,0.083503178,-0.050409201,0.100283264
0.03222048,0.012080106,0.003890524,0.025208718
0.057615207,-0.044385337,0.041479009,-0.037844152
0.071394313,-0.08493735,0.067953967,-0.083875065
0.078147867,-0.116115359,0.08452488,-0.119826924
0.080983069,-0.146929677,0.094558405,-0.154294771
0.079682533,-0.182862194,0.108779315,-0.200763704
0.070876019,-0.221599726,0.109787804,-0.251482763
0.050216007,-0.252505705,0.091055529,-0.288323399
0.01568944,-0.260299403,0.051894312,-0.30300551
-0.029352825,-0.231638273,0.011302947,-0.276376465
-0.074887197,-0.161988373,-0.042385243,-0.202121912
-0.105523769,-0.059855801,-0.090083447,-0.095139671
-0.104390799,0.053699391,-0.099517381,0.033037186
-0.05856545,0.15061822,-0.060882017,0.14154009
0.035677453,0.204842193,0.028407494,0.22329349
0.169656989,0.201656797,0.184430523,0.238055335
0.322463388,0.143891826,0.370783375,0.180661152
0.464856353,0.052396433,0.54000033,0.060746932
0.566035812,-0.039867049,0.649741076,-0.077480376
0.601469791,-0.098479585,0.678400722,-0.157903982
0.559541237,-0.09951343,0.642268207,-0.147230021
0.445047102,-0.038629312,0.532347943,-0.034511187
0.278471802,0.066060285,0.354247589,0.124741196
0.091184776,0.178750417,0.12443819,0.253094438
-0.082108044,0.257137995,-0.079542971,0.328123291
-0.211562813,0.266585254,-0.230022016,0.333035033
-0.278824847,0.192607406,-0.322688693,0.244871261
-0.280396296,0.047400893,-0.342777173,0.05680747
-0.227059638,-0.132048867,-0.276253591,-0.157855293
-0.139817309,-0.294038485,-0.176695248,-0.348316867
-0.043740126,-0.387461138,-0.075055244,-0.459492531
0.03842979,-0.377643782,0.024794777,-0.459411931
0.091201253,-0.257711082,0.117100792,-0.318528804
0.108676364,-0.051818658,0.150939835,-0.066416211
0.094079144,0.19087991,0.117142496,0.207080111
0.057071063,0.409780873,0.083949804,0.457055087
0.009999366,0.549819923,0.066755703,0.61975206
-0.035654784,0.576809697,0.025492516,0.656560221
-0.071649224,0.486612232,-0.053453889,0.564574627
-0.093747949,0.30559565,-0.136034627,0.35701888
-0.101059012,0.082511039,-0.159986277,0.087749401
-0.094569,-0.125528505,-0.135745634,-0.148205615
-0.075665568,-0.26866538,-0.102231029,-0.318038033
-0.045301212,-0.316974237,-0.061536525,-0.37862227
-0.00409292,-0.266804309,0.006129565,-0.322169012
0.04677816,-0.139478954,0.080681523,-0.164239256
0.104348356,0.026634458,0.135818278,0.033211154
0.162962929,0.187842971,0.195891235,0.219046747
0.214216876,0.306976338,0.258073815,0.362146142
0.248000845,0.362057619,0.310085366,0.421193964
0.254528857,0.349783227,0.307684736,0.414642573
0.226871705,0.283540168,0.24965035,0.355229375
0.163299605,0.187289879,0.155624313,0.252815019
0.068713557,0.087637602,0.046220394,0.136867438
-0.045374602,0.006562944,-0.074989587,0.035601104
-0.162511821,-0.043315212,-0.188864449,-0.04632486
-0.264400576,-0.060122121,-0.304062506,-0.070286724
-0.334801112,-0.051045965,-0.376951437,-0.060152175
-0.363339942,-0.028678095,-0.410933266,-0.043707574
-0.348248233,-0.006763923,-0.399860241,-0.022833709
-0.2972179,0.003427554,-0.342288655,-0.021109285
-0.22595757,-0.004600899,-0.265712561,-0.042892585
-0.154585758,-0.031773277,-0.187821619,-0.072063972
-0.102591937,-0.07387654,-0.133611969,-0.113411026
-0.083572654,-0.122806348,-0.11119617,-0.166686303
-0.10115846,-0.168238252,-0.119944602,-0.220008925
-0.147386053,-0.199484094,-0.165950723,-0.261597643
-0.204227281,-0.20740314,-0.232216585,-0.273477251
-0.248164176,-0.186232364,-0.283151073,-0.250967464
-0.256801436,-0.135090329,-0.285199872,-0.200546361
-0.215796025,-0.058784966,-0.232712207,-0.118715505
-0.124100733,0.032462376,-0.127032265,-0.007970295
0.004192394,0.124594192,0.002821038,0.104401816
0.142281185,0.20246233,0.152309234,0.214964847
0.25703132,0.253185569,0.285717423,0.284700565
0.317764162,0.269237697,0.369082788,0.305454915
0.305060219,0.250318598,0.351704755,0.299388237
0.216991583,0.203331785,0.242487499,0.270754269
0.070785385,0.140347369,0.058617138,0.199200384
-0.100832925,0.075093642,-0.138280296,0.116668227
-0.257808662,0.01905285,-0.305307436,0.041858316
-0.363233066,-0.021576099,-0.430024247,-0.000709829
-0.393133123,-0.047041243,-0.469981333,-0.034813364
-0.342694878,-0.062954546,-0.413225936,-0.075002625
-0.227051066,-0.077385383,-0.27762307,-0.118701138
-0.076390756,-0.097221178,-0.09701451,-0.142753618
0.073109866,-0.125166819,0.077416016,-0.157427645
0.189737934,-0.158526116,0.213452703,-0.186836151
0.254853125,-0.190238251,0.29312205,-0.221463206
0.267037766,-0.21177039,0.316117684,-0.243401714
0.240622659,-0.216724053,0.295085776,-0.239229716
0.199257451,-0.203691989,0.258814605,-0.224113472
0.166806438,-0.177148104,0.219259207,-0.184054103
0.158702449,-0.145895466,0.222783176,-0.1538391
0.176692965,-0.119569322,0.246055042,-0.119010996
0.208725576,-0.104522626,0.280777501,-0.105430929
0.233942252,-0.100774809,0.306635729,-0.100695358
0.230986246,-0.101410883,0.308818034,-0.102489533
0.18667522,-0.094948941,0.255454976,-0.089230174
0.101955615,-0.070048178,0.158160699,-0.062227843
-0.00702221,-0.020930928,0.026136919,-0.010159493
-0.113195359,0.048563572,-0.103354726,0.061888117
-0.186885093,0.124073394,-0.208365154,0.144039467
-0.20534907,0.1837312,-0.239368056,0.211842689
-0.160388147,0.204495673,-0.199944373,0.232454957
-0.061446443,0.169909146,-0.094238733,0.19104102
0.066848778,0.076695211,0.046134174,0.088323091
0.191906126,-0.062214403,0.199523233,-0.054826809
0.282781766,-0.219591764,0.312218085,-0.240202635
0.31907238,-0.360539799,0.346121541,-0.424145842
0.296292606,-0.451999783,0.303056403,-0.537211474
0.226183876,-0.472235793,0.230534484,-0.560955662
0.132124786,-0.417261196,0.155118929,-0.486477747
0.041410172,-0.302061056,0.09105913,-0.348846143
-0.022908755,-0.156104631,0.031009611,-0.185308943
-0.047971473,-0.014497075,-0.01126564,-0.029533792
-0.033141249,0.092436119,-0.011641812,0.085521061
0.012093457,0.14780225,0.023610582,0.151606328
0.073105118,0.152270525,0.079604484,0.165125674
0.135842677,0.122408879,0.145868456,0.139532534
0.191059905,0.083881691,0.212602093,0.106999523
0.23561828,0.061864053,0.267602907,0.09179913
0.270711327,0.071935605,0.311496011,0.111672285
0.298138169,0.114522958,0.343671569,0.161667914
0.316533584,0.174733123,0.369721172,0.235555018
0.319444682,0.227581898,0.38459114,0.28929853
0.296346977,0.246797667,0.353416823,0.313849049
0.23643411,0.214190282,0.27600724,0.288084086
0.133794328,0.126413024,0.148450626,0.196231719
-0.008110428,-0.00314524,-0.011813955,0.030663574
-0.174632865,-0.147943833,-0.19048358,-0.154336891
-0.341863691,-0.276124565,-0.403868972,-0.299994077
-0.481994895,-0.359986223,-0.598724538,-0.360450864
-0.570516083,-0.38400794,-0.703718249,-0.337908584
-0.592877709,-0.348892086,-0.7197698,-0.29531111
-0.548349707,-0.270483064,-0.659388746,-0.253526075
-0.44973671,-0.174134903,-0.532940385,-0.206804179
-0.319050096,-0.086557383,-0.368491168,-0.162049505
-0.180656258,-0.027886441,-0.203099324,-0.110133805
-0.054294125,-0.006489481,-0.063997828,-0.068300542
0.049644079,-0.017954293,0.048397476,-0.062993934
0.131050408,-0.048224602,0.146668771,-0.082682396
0.197166838,-0.079467129,0.234517333,-0.099530307
0.257136015,-0.096452703,0.302129698,-0.11359628
0.316316994,-0.091251718,0.3727629,-0.106546649
0.372694322,-0.06482544,0.444433128,-0.079257008
0.416861358,-0.025315554,0.499118538,-0.035588723
0.435633021,0.015968717,0.531111394,0.006897807
0.417880562,0.049124266,0.514698088,0.056065153
0.360243797,0.069002458,0.450522139,0.097385043
0.270335515,0.07617453,0.339672684,0.124395544
0.165943958,0.075384723,0.205021875,0.141485874
0.07024328,0.072378894,0.083243254,0.13280224
0.004578757,0.07061137,0.004269909,0.120267698
-0.018590533,0.069320681,-0.034728542,0.111211609
6.17068e-05,0.063847093,-0.015906441,0.107244599
0.04701324,0.048096111,0.037480748,0.083540132
0.100809318,0.018119446,0.096806804,0.045498323
0.13999023,-0.024740988,0.142798629,0.000283719
0.151225454,-0.07260646,0.166587862,-0.054748268
0.134658721,-0.112483992,0.159077449,-0.101900288
0.104373599,-0.130101346,0.131445574,-0.126875885
0.08359241,-0.114917982,0.11583575,-0.114876903
0.096124036,-0.06452245,0.130098857,-0.062730012
0.156993309,0.013275517,0.193774971,0.023206262
0.265591849,0.101615569,0.309926355,0.129932216
0.403917031,0.178857573,0.485477655,0.19703287
0.540762638,0.224683482,0.647499112,0.203863765
0.640678323,0.226068831,0.759725876,0.157884172
0.674841107,0.181143393,0.788642553,0.098019294
0.630271078,0.099635054,0.730977296,0.039545804
0.514329701,-0.000268674,0.603080703,-0.011212936
0.352989984,-0.097596529,0.432646077,-0.069554527
0.183426074,-0.174905011,0.252420826,-0.127857063
0.043325486,-0.223121773,0.096978593,-0.198247872
-0.039651111,-0.243341516,0.007144819,-0.241750308
-0.054981016,-0.245062197,-0.01387896,-0.263188348
-0.010908788,-0.241585785,0.034335308,-0.263443902
0.069598281,-0.244282006,0.127470503,-0.278196558
0.156925253,-0.257787445,0.217867851,-0.30046073
0.224085672,-0.277860044,0.289109123,-0.336136758
0.25420193,-0.292658364,0.317755804,-0.35278694
0.244040108,-0.287001826,0.306486638,-0.348516834
0.202949722,-0.248116569,0.266345383,-0.287710379
0.148140959,-0.170845986,0.218085436,-0.191514496
0.098332888,-0.060483311,0.155972378,-0.062166402
0.068075562,0.067801417,0.109109229,0.079407779
0.064467803,0.192802913,0.092587791,0.216840854
0.086860394,0.293142587,0.108286657,0.335524807
